종목코드 , 회사명, 배당기록 
014570, 고려제약,2012년:70 2013년:60 2014년:70 2015년:70 
037230, 한국팩키지,2012년:15 2013년:- 2014년:15 2015년:20 
064820, 소셜미디어99,2011년:99 2012년:- 2013년:- 2014년:- 
200880, 서연이화,-년:- -년:- 2014년:150 2015년:150 
084690, 대상홀딩스,2012년:120 2013년:120 2014년:170 2015년:170 
002350, 넥센타이어,2012년:60 2013년:65 2014년:75 2015년:80 
005860, 한일사료,2012년:25 2013년:25 2014년:25 2015년:25 
005620, 대성합동지주,2011년:1000 2012년:1000 2013년:- 2014년:- 
003200, 일신방직,2012년:750 2013년:2000 2014년:1750 2015년:2500 
115390, 락앤락,2012년:80 2013년:100 2014년:150 2015년:200 
003680, 한성기업,2011년:250 2012년:- 2013년:- 2014년:- 
105330, 케이엔더블유,2011년:100 2012년:- 2013년:- 2014년:100 
051500, CJ프레시웨이,2012년:200 2013년:- 2014년:200 2015년:200 
097780, 에스맥,2012년:75 2013년:75 2014년:- 2015년:- 
096690, 세우테크,2012년:50 2013년:50 2014년:50 2015년:- 
011090, 에넥스,2012년:- 2013년:- 2014년:20 2015년:30 
045060, 오공,2012년:50 2013년:50 2014년:50 2015년:50 
013030, 하이록코리아,2012년:250 2013년:350 2014년:400 2015년:400 
037440, 희림,2012년:50 2013년:50 2014년:- 2015년:100 
050890, 쏠리드,2012년:70 2013년:100 2014년:110 2015년:50 
087730, 네패스신소재,2012년:100 2013년:100 2014년:150 2015년:100 
085310, 엔케이,2011년:50 2012년:50 2013년:- 2014년:50 
057050, 현대홈쇼핑,2012년:1100 2013년:1100 2014년:1300 2015년:1500 
041930, 동아화성,2012년:60 2013년:80 2014년:80 2015년:60 
119500, 포메탈,2012년:50 2013년:40 2014년:30 2015년:30 
003230, 삼양식품,2012년:- 2013년:100 2014년:100 2015년:50 
006740, 영풍제지,2012년:2000 2013년:2000 2014년:2000 2015년:40 
094280, 효성ITX,2012년:25 2013년:50 2014년:75 2015년:100 
049430, 코메론,2012년:65 2013년:50 2014년:150 2015년:120 
001290, 골든브릿지증권,2012년:- 2013년:- 2013년:- 2014년:- 
122900, 아이마켓코리아,2012년:250 2013년:250 2014년:500 2015년:500 
006980, 우성사료,2012년:60 2013년:50 2014년:50 2015년:25 
130580, 나이스디앤비,2012년:59 2013년:59 2014년:71 2015년:84 
093190, 빅솔론,2012년:170 2013년:200 2014년:200 2015년:400 
002380, KCC,2012년:8000 2013년:8000 2014년:9000 2015년:9000 
003470, 동양증권,2012년:- 2013년:50 2013년:- 2014년:- 
004560, 현대비앤지스틸,2011년:- 2012년:- 2013년:- 2014년:100 
002140, 고려산업,2012년:150 2013년:25 2014년:45 2015년:30 
069260, 휴켐스,2012년:700 2013년:750 2014년:550 2015년:500 
007810, 코리아써키트,2012년:- 2013년:100 2014년:100 2015년:100 
011080, 형지I&C,2012년:- 2013년:- 2014년:15 2015년:15 
067080, 대화제약,2012년:80 2013년:100 2014년:100 2015년:100 
