종목코드,회사명,배당기록
099440, 스맥,2012 : 20  2013 : 40  2014 : 40  2015 : 50  
005800, 신영와코루,2012 : 1500  2013 : 1500  2014 : 1500  2015 : 1500  
088790, 진도,2012 : -  2013 : -  2014 : -  2015 : 150  
051900, LG생활건강,2012 : 3750  2013 : 3750  2014 : 4000  2015 : 5500  
004710, 한솔테크닉스,2011 : -  2012 : -  2013 : -  2014 : -  
123040, 엠에스오토텍,2012 : 75  2013 : 75  2014 : 75  2015 : 75  
056360, 코위버,2012 : 60  2013 : 100  2014 : 130  2015 : 100  
033240, 자화전자,2012 : 300  2013 : 350  2014 : 400  2015 : 400  
140410, 메지온,2011 : -  2012 : 25  2013 : -  2014 : -  
004960, 한신공영,2012 : 150  2013 : 100  2014 : -  2015 : -  
001450, 현대해상,2013 : 1050  2013 : 550  2014 : 750  2015 : 750  
025860, 남해화학,2012 : 30  2013 : 50  2014 : 60  2015 : 60  
139670, 넥스트리밍,2011 : 95  2012 : 70  2013 : 70  2014 : 50  
000100, 유한양행,2012 : 1250  2013 : 1500  2014 : 1750  2015 : 2000  
001430, 세아베스틸,2012 : 900  2013 : 900  2014 : 1000  2015 : 1000  
067000, JCE,2012 : 100  2013 : -  2014 : -  2015 : -  
003850, 보령제약,2012 : 150  2013 : 150  2014 : 200  2015 : 200  
068330, 일신바이오,2011 : 50  2012 : 50  2013 : -  2014 : 5  
004700, 조광피혁,2011 : 100  2012 : -  2013 : -  2014 : -  
044380, 주연테크,2012 : -  2013 : -  2014 : -  2015 : -  
003610, 방림,2012 : 300  2013 : 250  2014 : 250  2015 : 300  
043290, 케이맥,2011 : 200  2012 : -  2013 : -  2014 : -  
012330, 현대모비스,2012 : 1900  2013 : 1950  2014 : 3000  2015 : 3500  
035420, NAVER,2012 : 616  2013 : 734  2014 : 782  2015 : 1100  
012320, 경동가스,2012 : 1250  2013 : 1250  2014 : 1250  2015 : 1250  
033250, 체시스,2012 : 50  2013 : 20  2014 : -  2015 : -  
009160, SIMPAC,2012 : 100  2013 : 80  2014 : 80  2015 : 120  
087220, 스틸플라워,2012 : 50  2013 : -  2014 : -  2015 : -  
016920, 카스,2012 : 50  2013 : 50  2014 : 25  2015 : 25  
001680, 대상,2012 : 150  2013 : 150  2014 : 300  2015 : 400  
073070, 넥센테크,2012 : 50  2013 : 35  2014 : 75  2015 : 100  
069410, 엔텔스,2011 : -  2012 : 150  2013 : 150  2014 : 100  
026960, 동서,2012 : 800  2013 : 550  2014 : 600  2015 : 670  
047400, 쌍용머티리얼,2012 : 35  2013 : 35  2014 : 35  2015 : 35  
046310, 백금T&A,2012 : -  2013 : -  2014 : -  2015 : -  
000590, CS홀딩스,2011 : -  2012 : -  2013 : -  2014 : -  
023450, 동남합성,2012 : 200  2013 : 200  2014 : 200  2015 : 200  
043260, 성호전자,2011 : -  2012 : -  2013 : -  2014 : -  
003800, 에이스침대,2012 : 2000  2013 : 2000  2014 : 2500  2015 : 3300  
024740, 한일단조,2012 : 30  2013 : -  2014 : 50  2015 : 100  
002710, TCC동양,2011 : 218  2012 : 184  2013 : 110  2014 : 107  
023410, 유진기업,2012 : 100  2013 : 50  2014 : 50  2015 : 70  
099220, SDN,2012 : -  2013 : -  2014 : -  2015 : -  
106520, 디지탈옵틱,2012 : 100  2013 : 150  2014 : -  2015 : -  
001620, 동국실업,2011 : -  2012 : -  2013 : -  2014 : -  
086390, 유니테스트,2012 : -  2013 : -  2014 : 80  2015 : 200  
078520, 에이블씨엔씨,2012 : 550  2013 : 350  2014 : 60  2015 : 350  
034300, 신세계건설,2012 : 500  2013 : -  2014 : -  2015 : 250  
093920, 서원인텍,2012 : 200  2013 : 400  2014 : 500  2015 : 600  
090410, 덕신하우징,2011 : 75  2012 : 90  2013 : 75  2014 : 120  
012510, 더존비즈온,2012 : 200  2013 : 150  2014 : 200  2015 : 220  
008260, NI스틸,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
012750, 에스원,2012 : 1250  2013 : 1100  2014 : 1150  2015 : 1200  
030190, NICE평가정보,2012 : 180  2013 : 90  2014 : 100  2015 : 120  
021240, 코웨이,2012 : -  2013 : 2710  2014 : 2000  2015 : 2800  
000520, 삼일제약,2012 : 150  2013 : 150  2014 : 200  2015 : 200  
104110, 신성이엔지,2012 : -  2013 : -  2014 : -  2015 : -  
069640, 엠케이트렌드,2012 : 200  2013 : 150  2014 : 150  2015 : 200  
066130, 하츠,2012 : 30  2013 : 30  2014 : 30  2015 : 30  
098120, 마이크로컨텍솔,2012 : 85  2013 : 100  2014 : 160  2015 : 80  
091970, 나노캠텍,2012 : -  2013 : 50  2014 : 30  2015 : -  
035890, 서희건설,2011 : 10  2012 : -  2013 : -  2014 : -  
034310, NICE,2012 : 1300  2013 : 110  2014 : 110  2015 : 120  
185750, 종근당,- : -  2013 : 300  2014 : 800  2015 : 600  
007160, 사조산업,2011 : 200  2012 : -  2013 : -  2014 : -  
008250, 이건산업,2012 : -  2013 : 150  2014 : 150  2015 : 150  
009580, 무림P&P,2012 : 250  2013 : 250  2014 : 175  2015 : 200  
008490, 서흥,2012 : 150  2013 : 200  2014 : 250  2015 : 250  
053060, 세동,2011 : -  2012 : -  2013 : -  2014 : -  
020120, 다우인큐브,2012 : -  2013 : -  2014 : 30  2015 : 20  
045660, 에이텍,2012 : 100  2013 : 100  2014 : 100  2015 : 100  
004910, 조광페인트,2012 : 180  2013 : 200  2014 : 200  2015 : 250  
024720, 한국콜마홀딩스,2013 : 65  2013 : 65  2014 : 100  2015 : 125  
103230, 에스앤더블류,2011 : -  2012 : -  2013 : -  2014 : -  
019170, 신풍제약,2012 : 80  2013 : 60  2014 : 70  2015 : -  
182690, 테라셈,2012 : -  2013 : -  2014 : 50  2015 : 50  
090430, 아모레퍼시픽,2012 : 6500  2013 : 6500  2014 : 9000  2015 : 1350  
088350, 한화생명,2013 : 150  2013 : 130  2014 : 180  2015 : 180  
058730, 동아에스텍,2012 : 75  2013 : 100  2014 : 100  2015 : 150  
013870, 지엠비코리아,2012 : 120  2013 : 170  2014 : 200  2015 : 120  
011690, 유양디앤유,2012 : -  2013 : -  2014 : -  2015 : -  
053290, 능률교육,2012 : -  2013 : 100  2014 : 50  2015 : 100  
011200, 현대상선,2012 : -  2013 : -  2014 : -  2015 : -  
008040, 동아원,2011 : 20  2012 : 30  2013 : 30  2014 : -  
053050, 지에스이,2012 : 80  2013 : 80  2014 : 85  2015 : 100  
066110, 백산OPC,2012 : -  2013 : -  2014 : -  2015 : -  
192250, 케이사인,2012 : -  2013 : -  2014 : 25  2015 : 30  
069620, 대웅제약,2012 : 800  2013 : 800  2014 : 700  2015 : 700  
000300, 대유신소재,2011 : 18  2012 : -  2013 : -  2014 : -  
101060, SBS미디어홀딩스,2012 : 25  2013 : 25  2014 : 25  2015 : 25  
025820, 이구산업,2011 : 30  2012 : -  2013 : -  2014 : 20  
020150, 일진머티리얼즈,2012 : -  2013 : -  2014 : -  2015 : -  
044340, 위닉스,2011 : 50  2012 : 50  2013 : 100  2014 : 100  
002960, 한국쉘석유,2012 : 20000  2013 : 20000  2014 : 19000  2015 : 20000  
066590, 우수AMS,2012 : -  2013 : -  2014 : -  2015 : -  
026910, 광진실업,2011 : 50  2012 : 25  2013 : 25  2014 : 25  
001630, 종근당홀딩스,2012 : 700  2013 : 1700  2014 : 700  2015 : 1200  
002720, 국제약품,2011 : 50  2012 : -  2013 : 40  2014 : 60  
033200, 모아텍,2011 : 60  2012 : -  2013 : -  2014 : -  
092600, 넥스트칩,2012 : 80  2013 : -  2014 : -  2015 : 50  
036710, 심텍,2011 : 200  2012 : 200  2013 : -  2014 : -  
010100, 한국프랜지,2011 : 250  2012 : -  2013 : 250  2014 : 250  
140860, 파크시스템스,2012 : -  2013 : -  2014 : -  2015 : 50  
079650, 서산,2012 : 750  2013 : 500  2014 : 500  2015 : 1000  
053280, 예스24,2012 : 100  2013 : 100  2014 : 100  2015 : 120  
023890, 아트라스BX,2012 : 700  2013 : 700  2014 : 700  2015 : 700  
097520, 엠씨넥스,2012 : 30  2013 : 100  2014 : 300  2015 : 330  
053700, 삼보모터스,2012 : 50  2013 : 50  2014 : 50  2015 : 50  
108860, 디오텍,2011 : -  2012 : -  2013 : -  2014 : -  
131400, 액트,2012 : 50  2013 : 50  2014 : -  2015 : -  
095340, ISC,2012 : 400  2013 : 305  2014 : 500  2015 : 252  
012160, 영흥철강,2012 : 40  2013 : 50  2014 : 50  2015 : 50  
014580, 백광소재,2012 : 1000  2013 : 1000  2014 : 1000  2015 : 100  
011070, LG이노텍,2012 : -  2013 : -  2014 : 250  2015 : 350  
037460, 삼지전자,2012 : 100  2013 : 50  2014 : -  2015 : -  
075970, 동국알앤에스,2011 : 80  2012 : 80  2013 : 80  2014 : 80  
189860, 서전기전,2012 : 10000  2013 : -  2014 : 455  2015 : 75  
014100, 보령메디앙스,2012 : -  2013 : -  2014 : -  2015 : 10  
088800, 에이스테크,2012 : -  2013 : 50  2014 : 50  2015 : 25  
138040, 메리츠금융지주,2013 : 75  2013 : 90  2014 : 85  2015 : 155  
139130, DGB금융지주,2012 : 330  2013 : 280  2014 : 320  2015 : 280  
003450, 현대증권,2013 : 50  2013 : -  2014 : 50  2015 : 500  
